sound.files,duration,selec,start,end
JS0002-20110427-001.wav,0.001293255226372525,1,0.3988671382391077,0.4389580502566562
JS0002-20110427-001.wav,0.02169038590196737,9,0.5882949958704109,0.6820673441265105
JS0002-20110427-001.wav,0.02275675424652035,25,1.1058466619894258,1.212392741691977
JS0002-20110427-001.wav,0.007759531358235261,41,1.3705328983203378,1.4105557442733403
JS0002-20110427-001.wav,0.006602408260954595,44,1.5115430953713078,1.6424795148694813
JS0002-20110427-001.wav,0.004968822711852283,54,1.7093657676299416,1.7541078607247949
JS0002-20110427-001.wav,0.0041066525609372295,63,1.859746392900067,2.0065195167492584
JS0002-20110427-001.wav,0.0039024543672994128,85,2.1441944766374785,2.196333082079655
JS0002-20110427-001.wav,0.004673869765486671,90,2.2831853804402527,2.4488354928568468
JS0002-20110427-001.wav,0.01522410977010491,119,2.570265352006773,2.702994177871323
JS0002-20110427-001.wav,0.0010890570327348748,146,2.8705501400952027,2.9154964313836937
JS0002-20110427-001.wav,0.011049391144621445,152,3.0232903889362537,3.154408317939883
JS0002-20110427-001.wav,0.00635283269095277,160,3.2172786728921334,3.2259003744012835
JS0002-20110427-001.wav,0.005467973851855934,163,3.3608526917076667,3.490337035162194
JS0002-20110427-001.wav,0.00562679466912952,176,3.561352629171773,3.6032132588675156
JS0002-20110427-001.wav,0.0038116996145713955,178,3.7024535809754715,3.847252788952831
JS0002-20110427-001.wav,0.0394783174366351,196,4.055285370893353,4.173788389267805
JS0002-20110427-002.wav,0.0028572674507759133,1,0.26699576956695087,0.31268937205356595
JS0002-20110427-002.wav,0.003945750289166772,9,0.7134324703877901,0.7786053803364411
JS0002-20110427-002.wav,0.0112249792709056,20,1.0732214019275592,1.1848135695884192
JS0002-20110427-002.wav,0.03201953682933034,44,1.3588347633761533,1.4697919827146186
JS0002-20110427-002.wav,0.007075138449540441,65,1.6030177467884963,1.6444481248247473
JS0002-20110427-002.wav,0.001950198418783522,71,1.7561309993888066,1.796223450602869
JS0002-20110427-002.wav,0.007120491901140058,78,1.8900597419624783,2.012990272523243
JS0002-20110427-002.wav,0.0019955518703831387,90,2.0878234676626124,2.1251947117806975
JS0002-20110427-002.wav,0.01299376388329021,94,2.2176023694149194,2.3682892123546497
JS0002-20110427-002.wav,0.0031293881603735585,115,2.5543290708162827,2.5574584589766562
JS0002-20110427-002.wav,0.01727966505945444,116,2.6620208416395754,2.8085124903063416
JS0002-20110427-002.wav,0.05263268058135662,134,2.922871218514778,3.049407348477712
JS0002-20110427-002.wav,0.012608259544693468,152,3.2085979635923714,3.3220496227688154
JS0002-20110427-002.wav,0.06308665117506873,173,3.3915084338936303,3.539224625753586
JS0002-20110427-002.wav,0.012948410431691038,177,3.6307932445332147,3.775198634426398
JS0002-20110427-002.wav,0.0041044873697653195,207,3.9570206218892667,3.9938249478623566
JS0002-20110427-002.wav,0.03646417508609279,216,4.10385242144303,4.235762935420518
JS0002-20110427-002.wav,0.006462866852945837,222,4.304926949109936,4.326220394635956
JS0002-20110427-002.wav,0.013560682028286308,225,4.442030433295581,4.578907150223228
JS0002-20110427-002.wav,0.007120491901139836,230,4.65226635818561,4.699139150413815
JS0002-20110427-002.wav,0.025148488911988842,239,4.7973293731269875,4.94425187958395
JS0002-20110427-002.wav,0.007528672965536387,248,5.014753820095557,5.0569552068090005
JS0002-20110427-002.wav,0.012880380254291168,254,5.159295270343539,5.331388942438289
JS0002-20110427-002.wav,0.04403820150322968,279,5.524662676430061,5.6368897924133154
JS0002-20110427-002.wav,0.003038681257174325,290,5.835061699177846,5.867466740345773
JS0002-20110427-002.wav,0.006394836675545967,295,5.968491553783922,6.124802224722005
JS0002-20110427-002.wav,0.0013832802737887562,315,6.403317770995259,6.525046435088634
JS0002-20110427-003.wav,0.004514101770002332,1,0.26472144550717225,0.3658690826551141
JS0002-20110427-003.wav,0.00961798568080896,23,0.7447587402649083,0.8494223863291835
JS0002-20110427-003.wav,0.004604837483972446,42,1.0960874247563464,1.1993900351110733
JS0002-20110427-003.wav,0.004309946413570076,63,1.3851033576789584,1.4950296751534877
JS0002-20110427-003.wav,0.006101976764475658,84,1.6199047015045573,1.650890947825277
JS0002-20110427-003.wav,0.005920505336535653,87,1.7845219705744417,1.8216555615166217
JS0002-20110427-003.wav,0.0017466624939206365,94,1.9517252074924678,1.9897434716458544
